|          energy|          log10jnu|
|          double|            double|
|        Rydbergs|erg/s/cm^2/Hz/ster|
 0.00909449242395     -19.3040485504 
 0.00954607312885     -19.3119925888 
  0.0100150361675     -19.3180771047 
  0.0105069542359     -19.3218565839 
  0.0110229604558     -19.3231785188 
  0.0115643165086     -19.3222027759 
  0.0121324476219     -19.3191336032 
  0.0127272086715     -19.3139024236 
  0.0133519141521     -19.3062574102 
  0.0140087339105     -19.2968331535 
  0.0146955029976     -19.2856692115 
  0.0154190886782     -19.2730643892 
  0.0161744433951     -19.2582685235 
   0.016969611562      -19.240218181 
  0.0178051610176     -19.2188254528 
  0.0186773548039     -19.1950778527 
    0.01959716432     -19.1695298082 
  0.0205564660699      -19.143715648 
  0.0215684767072       -19.12183995 
  0.0226289580551     -19.1008756808 
  0.0237371227111     -19.0758520498 
  0.0249048412375     -19.0517598935 
  0.0261258067913     -19.0317058913 
   0.027406560628     -19.0104805754 
  0.0287557002487     -18.9846222424 
  0.0301644535214     -18.9559919989 
  0.0316522452546     -18.9303364421 
  0.0332094803528     -18.9121315196 
  0.0348344090551     -18.8909268827 
  0.0365530742431     -18.8616914887 
  0.0383369011729      -18.834377034 
  0.0402325890013     -18.8148977867 
   0.042207880541     -18.7989800748 
   0.044279307137      -18.785786964 
  0.0464458787401      -18.775047702 
  0.0487309166246     -18.7665927409 
  0.0511373816431     -18.7621140974 
  0.0536355586157     -18.7644452199 
  0.0562511198074     -18.7678273566 
  0.0590199573109      -18.770935628 
  0.0619488878912     -18.7720061027 
  0.0649513999202     -18.7718374853 
  0.0681576769544      -18.772138521 
  0.0715281115291     -18.7719257255 
  0.0750014930766     -18.7720139836 
  0.0786932764145     -18.7731313678 
  0.0825424040652     -18.7752636212 
  0.0866224468517     -18.7779269672 
   0.090854251334     -18.7824902201 
  0.0953508570556     -18.7865474316 
   0.100029433686     -18.7927936645 
   0.104948536322     -18.8002263205 
   0.110096428764     -18.8066500123 
    0.11551123601     -18.8126540564 
   0.121179274053     -18.8195768153 
   0.127130041975     -18.8266117146 
   0.133382339122     -18.8334663744 
   0.139936753821      -18.841661562 
   0.146789326817     -18.8509377553 
   0.154008474038     -18.8619667303 
   0.161572365404     -18.8746384984 
   0.169506722634     -18.8896499438 
   0.177843118829     -18.9062776015 
   0.186582338428     -18.9224760501 
   0.195719102423     -18.9438577379 
   0.205333064642     -18.9743900993 
   0.215429820539     -19.0101185266 
   0.226008963512     -19.0542744172 
   0.237124158439     -19.0951889058 
   0.248776451237     -19.1124986779 
    0.26095880323     -19.1159093411 
   0.273818551947     -19.1186517568 
   0.287285038108     -19.1210047945 
   0.301345284683     -19.1230822601 
